Restaurant Name,Cuisine Type,Neighborhood,Address,City,State Zip,Phone,Rating,Website
Craig’s,American,West Hollywood,8826 Melrose Ave, West Hollywood, CA 90069,(310) 276-1900,4.5,https://craigs.la
SUR Restaurant,Mediterranean,West Hollywood,606 N Robertson Blvd, West Hollywood, CA 90069,(310) 289-2824,4.4,https://surrestaurant.com
Pump Restaurant,Californian,West Hollywood,8948 Santa Monica Blvd, West Hollywood, CA 90069,(310) 657-7867,4.4,https://pumprestaurant.com
Norah,Californian,West Hollywood,8279 Santa Monica Blvd, West Hollywood, CA 90046,(323) 450-4211,4.6,https://norahla.com
Laurel Hardware,American,West Hollywood,7984 Santa Monica Blvd, West Hollywood, CA 90046,(323) 654-3277,4.5,https://laurelhardware.com
Jones Hollywood,Italian,West Hollywood,7205 Santa Monica Blvd, West Hollywood, CA 90046,(323) 850-1726,4.5,https://joneshollywood.com
E.P. & L.P.,Asian Fusion,West Hollywood,603 N La Cienega Blvd, West Hollywood, CA 90069,(310) 855-9955,4.6,https://eplosangeles.com
BOA Steakhouse,Steakhouse,West Hollywood,9200 Sunset Blvd, West Hollywood, CA 90069,(310) 278-4232,4.6,https://boasteak.com
Katana,Japanese,West Hollywood,8439 W Sunset Blvd, West Hollywood, CA 90069,(323) 650-8585,4.6,https://katanarobata.com
Tesse,French,West Hollywood,8500 Sunset Blvd, West Hollywood, CA 90069,(310) 652-8351,4.6,https://tesserestaurant.com
The Tower Bar,American,West Hollywood,8358 Sunset Blvd, West Hollywood, CA 90069,(323) 654-7100,4.6,https://sunsettowerhotel.com
The Griddle Café,Breakfast,Hollywood,7916 Sunset Blvd, Los Angeles, CA 90046,(323) 874-0377,4.6,https://thegriddlecafe.com
Paley,American,Hollywood,6115 Sunset Blvd, Los Angeles, CA 90028,(323) 544-7500,4.5,https://paleyhollywood.com
Mama Shelter Rooftop,Californian,Hollywood,6500 Selma Ave, Los Angeles, CA 90028,(323) 785-6666,4.5,https://mamashelter.com
Katsuya,Japanese,Hollywood,6300 Hollywood Blvd, Los Angeles, CA 90028,(323) 871-8777,4.6,https://katsuya.com
Tao Los Angeles,Asian Fusion,Hollywood,6421 Selma Ave, Los Angeles, CA 90028,(323) 593-7888,4.6,https://taolosangeles.com
Cleopatra’s Barge,Mediterranean,Hollywood,6500 Hollywood Blvd, Los Angeles, CA 90028,(323) 555-3434,4.5,https://cleopatrasbarge.com
Pine & Crane,Taiwanese,Silver Lake,1521 Griffith Park Blvd, Los Angeles, CA 90026,(323) 668-1128,4.6,https://pineandcrane.com
Alimento,Italian,Silver Lake,1710 Silver Lake Blvd, Los Angeles, CA 90026,(323) 928-2888,4.6,https://alimentola.com
Cliff’s Edge,Mediterranean,Silver Lake,3626 Sunset Blvd, Los Angeles, CA 90026,(323) 666-6116,4,n/a
Petit Trois Le Valley,French,Sherman Oaks,13705 Ventura Blvd, Sherman Oaks, CA 91423,(818) 989-2600,4.6,https://petittrois.com
Mélisse,Fine Dining,Santa Monica,1104 Wilshire Blvd, Santa Monica, CA 90401,(310) 395-0881,4.8,https://melisse.com
Rustic Canyon,Californian,Santa Monica,1119 Wilshire Blvd, Santa Monica, CA 90401,(310) 393-7050,4.7,https://rusticcanyonrestaurant.com
Cassia,French-Vietnamese,Santa Monica,1314 7th St, Santa Monica, CA 90401,(310) 393-6699,4.6,https://cassiala.com
Tar & Roses,Californian,Santa Monica,602 Santa Monica Blvd, Santa Monica, CA 90401,(310) 587-0700,4.6,https://tarandroses.com
Huckleberry Café,Bakery/Café,Santa Monica,1014 Wilshire Blvd, Santa Monica, CA 90401,(310) 845-1750,4.5,https://huckleberrycafe.com
Bay Cities Italian Deli,Deli,Santa Monica,1517 Lincoln Blvd, Santa Monica, CA 90401,(310) 395-8279,4.7,https://baycitiesdeli.com
The Lobster,Seafood,Santa Monica,1602 Ocean Ave, Santa Monica, CA 90401,(310) 458-9294,4.6,https://thelobsster.com
Michael’s,Santa Monica,Californian,1147 3rd St, Santa Monica, CA 90403,(310) 451-0843,4.6,https://michaelssm.com
Forma,Italian,West LA,1610 Montana Ave, Santa Monica, CA 90403,(310) 424-5212,4.6,https://formarestaurant.com
Il Ristorante di Giorgio Baldi,Italian,Pacific Palisades,114 W Channel Rd, Santa Monica, CA 90402,(310) 573-1660,4.7,https://giorgiobaldi.us
Shutters on the Beach,Californian,Santa Monica,1 Pico Blvd, Santa Monica, CA 90405,(310) 458-0030,4.6,https://shuttersonthebeach.com
Blue Plate Oysterette,Seafood,Santa Monica,1355 Ocean Ave, Santa Monica, CA 90401,(310) 576-3474,4.5,https://blueplatesantamonica.com
Cha Cha Chicken,Caribbean,Santa Monica,1906 Ocean Ave, Santa Monica, CA 90405,(310) 581-1684,4.6,https://chachachicken.com
Back on the Beach Café,Café,Santa Monica,445 Pacific Coast Hwy, Santa Monica, CA 90402,(310) 393-8282,4.5,https://backonthebeachcafe.com
The Misfit Restaurant + Bar,American,Santa Monica,225 Santa Monica Blvd, Santa Monica, CA 90401,(310) 656-9800,4.5,https://misfitrestaurant.com
Sweetfin,Poke,Santa Monica,829 Broadway, Santa Monica, CA 90401,(310) 899-7900,4.6,https://sweetfin.com
True Food Kitchen,Healthy,Santa Monica,395 Santa Monica Pl, Santa Monica, CA 90401,(310) 593-8300,4.6,https://truefoodkitchen.com
Hillstone,American,Santa Monica,202 Wilshire Blvd, Santa Monica, CA 90401,(310) 576-7558,4.6,https://hillstone.com
The Penthouse,Californian,Santa Monica,1111 2nd St, Santa Monica, CA 90403,(310) 394-5454,4.6,https://thesantamonicahotel.com
Ocean Prime,Seafood,Beverly Hills,9595 Wilshire Blvd, Beverly Hills, CA 90212,(310) 552-1234,4.7,https://ocean-prime.com
Il Cielo,Italian,Beverly Hills,9018 Burton Way, Beverly Hills, CA 90211,(310) 276-9990,4.6,https://ilcielo.com
Mastro’s Steakhouse,Steakhouse,Beverly Hills,246 N Canon Dr, Beverly Hills, CA 90210,(310) 888-8782,4.7,https://mastrosrestaurants.com
Avra Beverly Hills,Greek,Beverly Hills,233 N Beverly Dr, Beverly Hills, CA 90210,(310) 734-0841,4.6,https://avrabeverlyhills.com
Crustacean,Asian Fusion,Beverly Hills,468 N Bedford Dr, Beverly Hills, CA 90210,(310) 205-8990,4.6,https://crustaceanbh.com
Il Fornaio,Italian,Beverly Hills,301 N Beverly Dr, Beverly Hills, CA 90210,(310) 550-8330,4.5,https://ilfornaio.com
The Grill on the Alley,Steakhouse,Beverly Hills,9560 Dayton Way, Beverly Hills, CA 90210,(310) 276-0615,4.6,https://thegrill.com
Nate ’n Al,Deli,Beverly Hills,414 N Beverly Dr, Beverly Hills, CA 90210,(310) 274-0101,4.5,https://natenal.com
The Bazaar by José Andrés,Spanish,Beverly Grove,465 La Cienega Blvd, Los Angeles, CA 90048,(310) 246-5555,4.6,https://thebazaar.com
Otium,Modern American,Downtown LA,222 S Hope St, Los Angeles, CA 90012,(213) 935-8500,4.7,https://otiumla.com
Republique Café,Bakery/Café,Hancock Park,624 S La Brea Ave, Los Angeles, CA 90005,(310) 362-6115,4.6,https://republiquela.com
Jon & Vinny’s Brentwood,Italian/American,Brentwood,11938 San Vicente Blvd, Los Angeles, CA 90049,(310) 442-2733,4.5,https://jonandvinnys.com
Sqirl Virgil Village,Café/American,Virgil Village,720 N Virgil Ave #4, Los Angeles, CA 90029,(323) 284-8147,4.4,https://sqirlla.com
Guelaguetza Mole,Oaxacan/Korean,Koreatown,3014 W Olympic Blvd, Los Angeles, CA 90006,(213) 427-0608,4.6,https://ilovemole.com
Providence Fine Dining,Seafood,Hollywood,5955 Melrose Ave, Los Angeles, CA 90038,(323) 460-4170,4.8,https://providencela.com
n/naka Kaiseki,Japanese,Palms,3455 S Overland Ave, Los Angeles, CA 90034,(310) 836-6252,4.9,https://nnaka.com
Bestia Arts District,Italian,Arts District,2121 E 7th Pl, Los Angeles, CA 90021,(213) 514-5724,4.7,https://bestiala.com
Bavel Arts District,Middle Eastern,Arts District,500 Mateo St, Los Angeles, CA 90013,(213) 232-4966,4.7,https://baveldtla.com
Rossoblu Downtown,Italian,Downtown LA,1124 San Julian St, Los Angeles, CA 90015,(213) 749-1099,4.6,https://rossoblula.com
Maccheroni Republic Downtown,Italian,Downtown LA,332 S Broadway, Los Angeles, CA 90013,(213) 346-9933,4.5,https://maccheronirepublic.com
Il Pastaio Beverly Hills,Italian,Beverly Hills,400 N Canon Dr, Beverly Hills, CA 90210,(310) 205-5444,4.6,https://ilpastaio.com
Madeo Beverly Hills,Italian,Beverly Hills,362 N Camden Dr, Beverly Hills, CA 90210,(310) 859-4903,4.5,https://madeorestaurant.com
Drago Centro Downtown,Italian,Downtown LA,525 S Flower St, Los Angeles, CA 90071,(213) 228-8998,4.6,https://dragocentro.com
Osteria La Buca Hollywood,Italian,Hollywood,5210 Melrose Ave, Los Angeles, CA 90038,(323) 462-1900,4.5,https://osterialabuca.com
Pizzana Brentwood,Pizza,Brentwood,11712 Barrington Ct, Los Angeles, CA 90049,(310) 481-7108,4.6,https://pizzana.com
Joe’s Pizza Hollywood,Pizza,Hollywood,6504 Hollywood Blvd, Los Angeles, CA 90028,(323) 466-1188,4.5,https://joespizzany.com
Prime Pizza Fairfax,Pizza,Fairfax,446 N Fairfax Ave, Los Angeles, CA 90036,(323) 944-0737,4.5,https://primepizza.la
Casa Bianca Pizza,Pizza,Eagle Rock,1650 Colorado Blvd, Los Angeles, CA 90041,(323) 256-9617,4.5,https://casabiancapizza.com
Little Dom’s Los Feliz,Italian,Los Feliz,2128 Hillhurst Ave, Los Angeles, CA 90027,(323) 661-0055,4.6,https://littledoms.com
Fig & Olive West Hollywood,Mediterranean,West Hollywood,8490 Melrose Pl, Los Angeles, CA 90069,(310) 360-9100,4.5,https://figandolive.com
Dune Atwater Village,Mediterranean,Atwater Village,3143 Glendale Blvd, Los Angeles, CA 90039,(323) 665-7454,4.6,https://dunela.com
Shamshiri Grill Westwood,Persian,Westwood,1712 Westwood Blvd, Los Angeles, CA 90024,(310) 474-1410,4.5,https://shamshirigrill.com
Raffi’s Place Glendale,Persian,Glendale,211 E Broadway, Glendale, CA 91205,(818) 240-7411,4.7,https://raffisplace.com
Carousel Restaurant Hollywood,Armenian,Hollywood,5112 Hollywood Blvd, Los Angeles, CA 90027,(323) 660-8060,4.6,https://carouselrestaurant.com
Marouch East Hollywood,Middle Eastern,East Hollywood,4905 Santa Monica Blvd, Los Angeles, CA 90029,(323) 662-9325,4.6,https://marouchrestaurant.com
Zankou Chicken Hollywood,Middle Eastern,East Hollywood,5065 Sunset Blvd, Los Angeles, CA 90027,(323) 665-7847,4.5,https://zankouchicken.com
Saffy’s East Hollywood,Middle Eastern,East Hollywood,4850 Fountain Ave, Los Angeles, CA 90029,(323) 555-4545,4.6,https://saffysla.com
Jitlada Thai,Thai,East Hollywood,5233 Sunset Blvd, Los Angeles, CA 90027,(323) 667-9809,4.7,https://jitladala.com
Night + Market Song Silver Lake,Thai,Silver Lake,3322 Sunset Blvd, Los Angeles, CA 90026,(323) 665-5899,4.6,https://nightmarketsong.com
Ruen Pair Thai,Thai,Hollywood,5257 Hollywood Blvd, Los Angeles, CA 90027,(323) 466-0153,4.5,https://ruenpairla.com
Palms Thai Hollywood,Thai,Hollywood,5900 Hollywood Blvd, Los Angeles, CA 90028,(323) 462-5073,4.5,https://palmsthai.com
Sapp Coffee Shop Thai,Thai,Hollygrove,5183 Hollywood Blvd, Los Angeles, CA 90027,(323) 665-1035,4.5,https://sappcoffeeshop.com
Chengdu Taste Alhambra,Chinese,Alhambra,828 W Valley Blvd, Alhambra, CA 91803,(626) 588-2284,4.7,https://chengdutaste.com
Din Tai Fung Century City,Chinese,Century City,10250 Santa Monica Blvd, Los Angeles, CA 90067,(424) 382-1118,4.7,https://dintaifungusa.com
Sea Harbour San Gabriel,Chinese,San Gabriel,3939 Rosemead Blvd, San Gabriel, CA 91770,(626) 288-3939,4.7,https://seaharbourla.com
Lunasia Dim Sum House,Chinese,Pasadena,239 S Fair Oaks Ave, Pasadena, CA 91105,(626) 793-8822,4.6,https://lunasiarestaurant.com
NBC Seafood Restaurant,Chinese,Monterey Park,404 S Atlantic Blvd, Monterey Park, CA 91754,(626) 282-2323,4.6,https://nbcseafood.com
Elite Restaurant,Chinese,Monterey Park,700 S Atlantic Blvd, Monterey Park, CA 91754,(626) 282-9998,4.6,https://eliterestaurantla.com
Capital Seafood,Chinese,Beverly Hills,50 N La Cienega Blvd, Beverly Hills, CA 90211,(310) 855-1234,4.5,https://capitalseafood.com
Little Sister Downtown,Asian Fusion,Downtown LA,523 W 7th St, Los Angeles, CA 90014,(213) 628-3146,4.5,https://littlesisterla.com
All Day Baby Silver Lake,Diner,Silver Lake,3200 Sunset Blvd, Los Angeles, CA 90026,(323) 741-0082,4.6,https://alldaybabyla.com
Manuela,American,Arts District,907 E 3rd St, Los Angeles, CA 90013,(323) 849-0480,4.6,https://manuela-la.com
Everson Royce Bar,American,Downtown LA,1936 E 7th St, Los Angeles, CA 90021,(213) 335-6166,4.5,https://erb.la
Yang Chow,Chinese,Downtown LA,819 N Broadway, Los Angeles, CA 90012,(213) 625-0765,4.5,https://yangchow.com
Nick’s Cafe,Diner,Downtown LA,1300 N Spring St, Los Angeles, CA 90012,(323) 222-1450,4.5,https://nickscafela.com
Cole’s French Dip,Sandwiches,Downtown LA,118 E 6th St, Los Angeles, CA 90014,(213) 622-4090,4.4,https://colesfrenchdip.com
El Ruso,Tacos,Silver Lake,1401 Mirasol St, Los Angeles, CA 90023,(323) 262-6666,4.7,https://elruso.com
Leo’s Taco Truck,Tacos,Mid-City,1515 S La Brea Ave, Los Angeles, CA 90019,(323) 555-1212,4.5,https://leostacos.com
El Chato Taco Truck,Tacos,Mid-City,5300 W Olympic Blvd, Los Angeles, CA 90019,(323) 555-2121,4.6,https://elchatotruck.com
Honey’s Kettle Fried Chicken,Soul Food,Culver City,9537 Culver Blvd, Culver City, CA 90232,(310) 202-5453,4.6,https://honeyskettle.com
Dulan’s Soul Food Kitchen,Soul Food,Inglewood,202 E Manchester Blvd, Inglewood, CA 90301,(310) 671-3345,4.6,https://dulans.com
Harold & Belle’s,Creole,Jefferson Park,2920 W Jefferson Blvd, Los Angeles, CA 90018,(323) 735-9023,4.6,https://haroldandbellesrestaurant.com
Republique Bakery,French,Hancock Park,624 S La Brea Ave, Los Angeles, CA 90005,(310) 362-6115,4.6,https://republiquela.com
Jon & Vinny’s Slauson,Italian/American,South LA,4475 Slauson Ave, Los Angeles, CA 90043,(323) 555-1212,4.5,https://jonandvinnys.com
Sqirl East Hollywood,Café/American,East Hollywood,720 N Virgil Ave #4, Los Angeles, CA 90029,(323) 284-8147,4.4,https://sqirlla.com
Guelaguetza Mole House,Oaxacan,Koreatown,3014 W Olympic Blvd, Los Angeles, CA 90006,(213) 427-0608,4.6,https://ilovemole.com
Providence Seafood,Seafood,Hollywood,5955 Melrose Ave, Los Angeles, CA 90038,(323) 460-4170,4.8,https://providencela.com
n/naka Japanese,Japanese,Palms,3455 S Overland Ave, Los Angeles, CA 90034,(310) 836-6252,4.9,https://nnaka.com
Bestia Downtown,Italian,Arts District,2121 E 7th Pl, Los Angeles, CA 90021,(213) 514-5724,4.7,https://bestiala.com
Bavel Downtown,Middle Eastern,Arts District,500 Mateo St, Los Angeles, CA 90013,(213) 232-4966,4.7,https://baveldtla.com
Rossoblu Italian,Italian,Downtown LA,1124 San Julian St, Los Angeles, CA 90015,(213) 749-1099,4.6,https://rossoblula.com
Maccheroni Republic Italian,Italian,Downtown LA,332 S Broadway, Los Angeles, CA 90013,(213) 346-9933,4.5,https://maccheronirepublic.com
Angelini Osteria Italian,Italian,Mid-City,7313 Beverly Blvd, Los Angeles, CA 90036,(323) 297-0070,4.7,https://angeliniosteria.com
Il Pastaio Italian,Italian,Beverly Hills,400 N Canon Dr, Beverly Hills, CA 90210,(310) 205-5444,4.6,https://ilpastaio.com
Madeo Italian,Italian,Beverly Hills,362 N Camden Dr, Beverly Hills, CA 90210,(310) 859-4903,4.5,https://madeorestaurant.com
Drago Centro Italian,Italian,Downtown LA,525 S Flower St, Los Angeles, CA 90071,(213) 228-8998,4.6,https://dragocentro.com
Osteria La Buca Italian,Italian,Hollywood,5210 Melrose Ave, Los Angeles, CA 90038,(323) 462-1900,4.5,https://osterialabuca.com
Pizzana West Hollywood,Pizza,West Hollywood,460 N Robertson Blvd, West Hollywood, CA 90048,(310) 481-7108,4.6,https://pizzana.com
Joe’s Pizza Downtown,Pizza,Downtown LA,232 S Broadway, Los Angeles, CA 90012,(213) 555-3434,4.5,https://joespizzany.com
Prime Pizza Downtown,Pizza,Downtown LA,7111 Melrose Ave, Los Angeles, CA 90046,(323) 944-0737,4.5,https://primepizza.la
DeSano Pizza Downtown,Pizza,East Hollywood,4959 Santa Monica Blvd, Los Angeles, CA 90029,(323) 913-7000,4.6,https://desanopizza.com
Casa Bianca Pizza Downtown,Pizza,Eagle Rock,1650 Colorado Blvd, Los Angeles, CA 90041,(323) 256-9617,4.5,https://casabiancapizza.com
Little Dom’s Italian,Italian,Los Feliz,2128 Hillhurst Ave, Los Angeles, CA 90027,(323) 661-0055,4.6,https://littledoms.com
Fig & Olive Mediterranean,Mediterranean,West Hollywood,8490 Melrose Pl, Los Angeles, CA 90069,(310) 360-9100,4.5,https://figandolive.com
Dune Mediterranean,Mediterranean,Atwater Village,3143 Glendale Blvd, Los Angeles, CA 90039,(323) 665-7454,4.6,https://dunela.com
Shamshiri Grill Persian,Persian,Westwood,1712 Westwood Blvd, Los Angeles, CA 90024,(310) 474-1410,4.5,https://shamshirigrill.com
Raffi’s Place Persian,Persian,Glendale,211 E Broadway, Glendale, CA 91205,(818) 240-7411,4.7,https://raffisplace.com
Carousel Restaurant Armenian,Armenian,Hollywood,5112 Hollywood Blvd, Los Angeles, CA 90027,(323) 660-8060,4.6,https://carouselrestaurant.com
Marouch Middle Eastern,Middle Eastern,East Hollywood,4905 Santa Monica Blvd, Los Angeles, CA 90029,(323) 662-9325,4.6,https://marouchrestaurant.com
Zankou Chicken Middle Eastern,Middle Eastern,East Hollywood,5065 Sunset Blvd, Los Angeles, CA 90027,(323) 665-7847,4.5,https://zankouchicken.com
Saffy’s Middle Eastern,Middle Eastern,East Hollywood,4850 Fountain Ave, Los Angeles, CA 90029,(323) 555-4545,4.6,https://saffysla.com
Night + Market Song Thai,Thai,Silver Lake,3322 Sunset Blvd, Los Angeles, CA 90026,(323) 665-5899,4.6,https://nightmarketsong.com
Palms Thai Thai,Thai,Hollywood,5900 Hollywood Blvd, Los Angeles, CA 90028,(323) 462-5073,4.5,https://palmsthai.com
Ayara Thai Cuisine Thai,Thai,Westchester,6245 W 87th St, Los Angeles, CA 90045,(310) 410-8848,4.6,https://ayarathai.com
Chengdu Taste Chinese,Chinese,Alhambra,828 W Valley Blvd, Alhambra, CA 91803,(626) 588-2284,4.7,https://chengdutaste.com
Din Tai Fung Chinese,Chinese,Century City,10250 Santa Monica Blvd, Los Angeles, CA 90067,(424) 382-1118,4.7,https://dintaifungusa.com
Sea Harbour Chinese,Chinese,San Gabriel,3939 Rosemead Blvd, San Gabriel, CA 91770,(626) 288-3939,4.7,https://seaharbourla.com
Lunasia Dim Sum House Chinese,Chinese,Pasadena,239 S Fair Oaks Ave, Pasadena, CA 91105,(626) 793-8822,4.6,https://lunasiarestaurant.com
NBC Seafood Restaurant Chinese,Chinese,Monterey Park,404 S Atlantic Blvd, Monterey Park, CA 91754,(626) 282-2323,4.6,https://nbcseafood.com
Elite Restaurant Chinese,Chinese,Monterey Park,700 S Atlantic Blvd, Monterey Park, CA 91754,(626) 282-9998,4.6,https://eliterestaurantla.com
Capital Seafood Chinese,Chinese,Beverly Hills,50 N La Cienega Blvd, Beverly Hills, CA 90211,(310) 855-1234,4.5,https://capitalseafood.com
Little Sister Asian Fusion,Asian Fusion,Downtown LA,523 W 7th St, Los Angeles, CA 90014,(213) 628-3146,4.5,https://littlesisterla.com
All Day Baby Diner,Diner,Silver Lake,3200 Sunset Blvd, Los Angeles, CA 90026,(323) 741-0082,4.6,https://alldaybabyla.com
